ROW;COL;TUBE
160;1;TUBE.79
162;1;TUBE.80
164;1;TUBE.81
166;1;TUBE.82
168;1;TUBE.83
170;1;TUBE.84
172;1;TUBE.85
174;1;TUBE.86
161;2;TUBE.167
163;2;TUBE.168
165;2;TUBE.169
167;2;TUBE.170
169;2;TUBE.171
171;2;TUBE.172
173;2;TUBE.173
175;2;TUBE.174
160;3;TUBE.253
162;3;TUBE.254
164;3;TUBE.255
166;3;TUBE.256
168;3;TUBE.257
170;3;TUBE.258
172;3;TUBE.259
174;3;TUBE.260
173;4;TUBE.346
174;5;TUBE.432
173;6;TUBE.518
172;7;TUBE.602
171;8;TUBE.686
170;9;TUBE.768
169;10;TUBE.850
168;11;TUBE.930
169;12;TUBE.1012
168;13;TUBE.1092
167;14;TUBE.1172
166;15;TUBE.1250
165;16;TUBE.1328
164;17;TUBE.1404
163;18;TUBE.1480
162;19;TUBE.1554
161;20;TUBE.1628
